Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
Cristiano Ronaldo,02/03,Liga Portugal,6,2002-10-07,H,Sporting CP,Moreirense FC,3:00,LW,34,2:00,Solo run,
Cristiano Ronaldo,02/03,Liga Portugal,6,2002-10-07,H,Sporting CP,Moreirense FC,3:00,LW,90+5,3:00,Header,Rui Jorge
Cristiano Ronaldo,02/03,Liga Portugal,8,2002-10-26,A,Sporting CP,Boavista FC,1:02,,88,1:02,Right-footed shot,Carlos Martins
Cristiano Ronaldo,02/03,Taca de Portugal Placard,Fourth Round,2002-11-24,H,Sporting CP,CD Estarreja,4:01,,67,3:00,Left-footed shot,Cesar Prates
Cristiano Ronaldo,02/03,Taca de Portugal Placard,Fifth Round,2002-12-18,H,Sporting CP,FC Oliveira do Hospital,8:01,,13,3:00,,
Cristiano Ronaldo,03/04,Premier League,11,2003-11-01,H,Manchester United,Portsmouth FC,3:00,RW,80,2:00,Direct free kick,
Cristiano Ronaldo,03/04,FA Cup,Fifth Round,2004-02-14,H,Manchester United,Manchester City,4:02,RW,74,3:00,Right-footed shot,
Cristiano Ronaldo,03/04,Premier League,29,2004-03-20,H,Manchester United,Tottenham Hotspur,3:00,,89,2:00,Right-footed shot,
Cristiano Ronaldo,03/04,Premier League,32,2004-04-10,A,Manchester United,Birmingham City,1:02,,60,1:01,Header,Ryan Giggs
Cristiano Ronaldo,03/04,Premier League,38,2004-05-15,A,Manchester United,Aston Villa,0:02,,4,0:01,Right-footed shot,
Cristiano Ronaldo,03/04,FA Cup,Final,2004-05-22,H,Manchester United,Millwall FC,3:00,RW,44,1:00,Header,Gary Neville
Cristiano Ronaldo,04/05,Premier League,16,2004-12-04,H,Manchester United,Southampton FC,3:00,,87,3:00,Right-footed shot,Gary Neville
Cristiano Ronaldo,04/05,FA Cup,Third Round,2005-01-19,A,Manchester United,Exeter City,0:02,,9,0:01,,Paul Scholes
Cristiano Ronaldo,04/05,Premier League,24,2005-01-22,H,Manchester United,Aston Villa,3:01,,8,1:00,Right-footed shot,Louis Saha
Cristiano Ronaldo,04/05,Premier League,25,2005-02-01,A,Manchester United,Arsenal FC,2:04,RW,54,2:02,Left-footed shot,Ryan Giggs
Cristiano Ronaldo,04/05,Premier League,25,2005-02-01,A,Manchester United,Arsenal FC,2:04,RW,58,2:03,Tap-in,Ryan Giggs
Cristiano Ronaldo,04/05,FA Cup,Fifth Round,2005-02-19,A,Manchester United,Everton FC,0:02,,58,0:02,Tap-in,Paul Scholes
Cristiano Ronaldo,04/05,FA Cup,Sixth Round,2005-03-12,A,Manchester United,Southampton FC,0:04,,45+1,0:02,Left-footed shot,Ruud van Nistelrooy
Cristiano Ronaldo,04/05,Premier League,30,2005-03-19,H,Manchester United,Fulham FC,1:00,,21,1:00,Right-footed shot,Roy Keane
Cristiano Ronaldo,04/05,FA Cup,Semi-Finals,2005-04-17,A,Manchester United,Newcastle United,1:04,RW,76,1:04,Right-footed shot,Ruud van Nistelrooy
Lionel Messi,04/05,LaLiga,34,2005-05-01,H,FC Barcelona,Albacete Balompie,2:00,CF,90+1,2:00,Left-footed shot,Ronaldinho Gaacho
Cristiano Ronaldo,05/06,UEFA Champions League Qualifying,3rd round,2005-08-09,H,Manchester United,Debreceni VSC,3:00,,63,3:00,Right-footed shot,Paul Scholes
Cristiano Ronaldo,05/06,Premier League,11,2005-10-29,A,Manchester United,Middlesbrough FC,4:01,,90,4:01,Header,Paul Scholes
Lionel Messi,05/06,UEFA Champions League,Group Stage,2005-11-02,H,FC Barcelona,Panathinaikos Athens,5:00,RW,34,3:00,Left-footed shot,
Lionel Messi,05/06,LaLiga,13,2005-11-27,H,FC Barcelona,Racing Santander,4:01,RW,51,2:00,Left-footed shot,Samuel Etoo
Cristiano Ronaldo,05/06,EFL Cup,Round of 16,2005-11-30,H,Manchester United,West Bromwich Albion,3:01,RW,12,1:01,Penalty,
Cristiano Ronaldo,05/06,Premier League,20,2005-12-31,H,Manchester United,Bolton Wanderers,4:01,,68,3:01,Right-footed shot,Wayne Rooney
