index,FOD1P,Major,Major_Category
0,1100,GENERAL AGRICULTURE,Agriculture & Natural Resources
1,1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
2,1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
3,1103,ANIMAL SCIENCES,Agriculture & Natural Resources
4,1104,FOOD SCIENCE,Agriculture & Natural Resources
5,1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
6,1106,SOIL SCIENCE,Agriculture & Natural Resources
7,1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
8,1302,FORESTRY,Agriculture & Natural Resources
9,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
10,6000,FINE ARTS,Arts
11,6001,DRAMA AND THEATER ARTS,Arts
12,6002,MUSIC,Arts
13,6003,VISUAL AND PERFORMING ARTS,Arts
14,6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts
15,6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
16,6007,STUDIO ARTS,Arts
17,6099,MISCELLANEOUS FINE ARTS,Arts
18,1301,ENVIRONMENTAL SCIENCE,Biology & Life Science
19,3600,BIOLOGY,Biology & Life Science
20,3601,BIOCHEMICAL SCIENCES,Biology & Life Science
21,3602,BOTANY,Biology & Life Science
22,3603,MOLECULAR BIOLOGY,Biology & Life Science
23,3604,ECOLOGY,Biology & Life Science
24,3605,GENETICS,Biology & Life Science
25,3606,MICROBIOLOGY,Biology & Life Science
26,3607,PHARMACOLOGY,Biology & Life Science
27,3608,PHYSIOLOGY,Biology & Life Science
28,3609,ZOOLOGY,Biology & Life Science
29,3611,NEUROSCIENCE,Biology & Life Science
30,3699,MISCELLANEOUS BIOLOGY,Biology & Life Science
31,4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
32,6200,GENERAL BUSINESS,Business
33,6201,ACCOUNTING,Business
34,6202,ACTUARIAL SCIENCE,Business
35,6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business
36,6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business
37,6205,BUSINESS ECONOMICS,Business
38,6206,MARKETING AND MARKETING RESEARCH,Business
39,6207,FINANCE,Business
40,6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business
41,6210,INTERNATIONAL BUSINESS,Business
42,6211,HOSPITALITY MANAGEMENT,Business
43,6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business
44,6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business
45,1901,COMMUNICATIONS,Communications & Journalism
46,1902,JOURNALISM,Communications & Journalism
47,1903,MASS MEDIA,Communications & Journalism
48,1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
49,2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
50,2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
51,2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
52,2102,COMPUTER SCIENCE,Computers & Mathematics
53,2105,INFORMATION SCIENCES,Computers & Mathematics
54,2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
55,2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
56,3700,MATHEMATICS,Computers & Mathematics
