Rank,Username,Owner,"Followers
(millions)",Description,Country,"Brand
Account"
1,@khaby.lame,Khabane Lame,153.3,Social media personality, Italy Senegal,-
2,@charlidamelio,Charli D'Amelio,149.3,Dancer and social media personality, United States,-
3,@bellapoarch,Bella Poarch,92.5,Singer and social media personality, Philippines United States,-
4,@addisonre,Addison Rae,88.8,Social media personality and dancer, United States,-
5,@willsmith,Will Smith,72.9,Actor and film producer, United States,-
6,@zachking,Zach King,71.9,Social media personality, United States,-
7,@kimberly.loaiza,Kimberly Loaiza,70.9,Singer and social media personality, Mexico,-
8,@tiktok,TikTok,66.6,Social media platform, China,+
9,@cznburak,Burak Özdemir,66.4,Social media personality, Turkey,-
10,@therock,The Rock,64.6,Actor and former wrestler, United States,-
11,@mrbeast,MrBeast,63.7,Social media personality, United States,-
12,@domelipa,Dominik Lipa,61.9,Social media personality, Mexico,-
13,@dixiedamelio,Dixie D'Amelio,57.5,Singer and social media personality, United States,-
14,@jasonderulo,Jason Derulo,56.8,"Singer, songwriter, and dancer", United States,-
15,@bts_official_bighit,BTS,55.8,Band, South Korea,-
16,@spencerx,Spencer Polanco Knight,55.4,Beatboxer and social media personality, United States,-
17,@lorengray,Loren Gray,54.5,"Singer, dancer, actress, and social media personality", United States,-
18,@justmaiko,Michael Le,52.2,Dancer and social media personality, United States,-
19,@kyliejenner,Kylie Jenner,50.7,Model and socialite, United States,-
20,@ox_zung,Won Jeong,50.6,Social media personality, South Korea,-
21,@youneszarou,Younes Zarou,49.3,Social media personality, Germany,-
22,@kallmekris,Kris Collins,47.7,Social media personality, Canada,-
23,@billieeilish,Billie Eilish,46.8,Singer and songwriter, United States,-
24,@homm9k,Alina Kim,46.9,Social media personality, Kazakhstan,-
25,@brentrivera,Brent Rivera,45.9,Social media personality, United States,-
26,@riyaz.14,Riyaz Aly,45.5,Social media personality, India,-
27,@itsjojosiwa,JoJo Siwa,45.1,"Singer, dancer, and social media personality", United States,-
28,@selenagomez,Selena Gomez,44.9,Singer and actress, United States,-
29,@junya1gou,Junya Gou,43.2,Social media personality, Japan,-
30,@avani,Avani Gregg,42.8,Social media personality, United States,-
31,@joealbanese,Joe Albanese,42.4,Social media personality, United States,-
32,@karolg,Karol G,42.3,Singer, Colombia,-
33,@elrodcontreras,Rod Contreras,42.2,Social media personality, Mexico,-
34,@carlosferiag,Carlos Feria,41.7,Social media personality, Colombia,-
35,@xoteam,XO Team,39.5,Social media personality, Russia,-
36,@bayashi.tiktok,Bayashi,39.1,Social media personality, Japan,-
37,@anokhinalz,Liza Anokhina,38.9,Social media personality, Russia,-
38,@ondymikula,Ondy Mikula,38.5,Social media personality, Czech Republic,-
39,@pongamoslo_a_prueba,Pongámoslo a Prueba,38.2,Social media personality, Mexico,-
40,@scottsreality,Scott Hentzepeter,38.0,Social media personality, Netherlands,-
41,@jamescharles,James Charles,37.6,Social media personality, United States,-
42,@bp_tiktok,Blackpink,37.3,Band, South Korea,-
43,@dobretwins,Lucas and Marcus,37.1,Social media personalities, United States,-
44,@montpantoja,Paola Montserrat Pantoja Lizárraga,37.0,Social media personality, Mexico,-
45,@nianaguerrero,Niana Guerrero,36.7,Social media personality, Philippines,-
46,@miakhalifa,Mia Khalifa,36.6,"Media personality, former pornographic actress", Lebanon United States,-
47,@babyariel,Baby Ariel,36.1,"Singer, actress, and social media personality", United States,-
48,@psg,Paris Saint-Germain F.C.,35.9,Football club, France,+
49,@spider_slack,Spider Slack,35.6,Social media personality, Brazil,-
50,@gordonramsayofficial,Gordon Ramsay,35.5,"Chef, television personality", United Kingdom,-
