,champion,sum_total,win_total,lose_total,pick_rate,winrate_total,sum_blue_side,win_blue_side,lose_blue_side,winrate_blue_side,sum_red_side,win_red_side,lose_red_side,winrate_red_side
0,Graves,69,35,34,50.72%,60.53%,34,17,17,50.00%,35,18,17,51.43%
1,Senna,46,21,25,45.65%,40.35%,21,12,9,57.14%,25,9,16,36.00%
2,Jhin,42,28,14,66.67%,36.84%,20,10,10,50.00%,22,18,4,81.82%
3,Leona,42,26,16,61.90%,36.84%,19,14,5,73.68%,23,12,11,52.17%
4,Ashe,42,17,25,40.48%,36.84%,15,5,10,33.33%,27,12,15,44.44%
5,Lillia,41,17,24,41.46%,35.96%,22,9,13,40.91%,19,8,11,42.11%
6,Ornn,40,24,16,60.00%,35.09%,21,13,8,61.90%,19,11,8,57.89%
7,Orianna,39,25,14,64.10%,34.21%,16,12,4,75.00%,23,13,10,56.52%
8,Syndra,37,19,18,51.35%,32.46%,23,13,10,56.52%,14,6,8,42.86%
9,Ezreal,34,20,14,58.82%,29.82%,19,12,7,63.16%,15,8,7,53.33%
10,Renekton,33,13,20,39.39%,28.95%,16,7,9,43.75%,17,6,11,35.29%
11,Sett,32,15,17,46.88%,28.07%,13,8,5,61.54%,19,7,12,36.84%
12,Nidalee,31,18,13,58.06%,27.19%,18,10,8,55.56%,13,8,5,61.54%
13,Volibear,28,14,14,50.00%,24.56%,14,7,7,50.00%,14,7,7,50.00%
14,Camille,27,15,12,55.56%,23.68%,13,8,5,61.54%,14,7,7,50.00%
15,Rakan,27,15,12,55.56%,23.68%,13,8,5,61.54%,14,7,7,50.00%
16,Kindred,25,16,9,64.00%,21.93%,10,6,4,60.00%,15,10,5,66.67%
17,Nautilus,24,6,18,25.00%,21.05%,7,2,5,28.57%,17,4,13,23.53%
18,Twisted Fate,23,13,10,56.52%,20.18%,13,6,7,46.15%,10,7,3,70.00%
19,Galio,23,7,16,30.43%,20.18%,11,1,10,9.09%,12,6,6,50.00%
20,Bard,20,11,9,55.00%,17.54%,12,6,6,50.00%,8,5,3,62.50%
21,Pantheon,18,11,7,61.11%,15.79%,11,5,6,45.45%,7,6,1,85.71%
22,Alistar,17,9,8,52.94%,14.91%,10,6,4,60.00%,7,3,4,42.86%
23,Lucian,16,9,7,56.25%,14.04%,13,8,5,61.54%,3,1,2,33.33%
24,Sylas,16,8,8,50.00%,14.04%,5,1,4,20.00%,11,7,4,63.64%
25,Tahm Kench,16,8,8,50.00%,14.04%,6,2,4,33.33%,10,6,4,60.00%
26,Caitlyn,15,8,7,53.33%,13.16%,11,7,4,63.64%,4,1,3,25.00%
27,Zoe,15,7,8,46.67%,13.16%,7,4,3,57.14%,8,3,5,37.50%
28,Shen,14,9,5,64.29%,12.28%,7,5,2,71.43%,7,4,3,57.14%
29,Azir,14,5,9,35.71%,12.28%,6,2,4,33.33%,8,3,5,37.50%
30,Lee Sin,14,5,9,35.71%,12.28%,6,2,4,33.33%,8,3,5,37.50%
31,Gangplank,13,6,7,46.15%,11.40%,8,2,6,25.00%,5,4,1,80.00%
32,Wukong,13,5,8,38.46%,11.40%,7,4,3,57.14%,6,1,5,16.67%
33,Braum,12,6,6,50.00%,10.53%,8,4,4,50.00%,4,2,2,50.00%
34,Lulu,12,6,6,50.00%,10.53%,3,1,2,33.33%,9,5,4,55.56%
35,Thresh,12,4,8,33.33%,10.53%,6,2,4,33.33%,6,2,4,33.33%
36,Jayce,11,5,6,45.45%,9.65%,4,0,4,0.00%,7,5,2,71.43%
37,Sion,11,4,7,36.36%,9.65%,5,2,3,40.00%,6,2,4,33.33%
38,Hecarim,10,5,5,50.00%,8.77%,6,3,3,50.00%,4,2,2,50.00%
39,Twitch,10,4,6,40.00%,8.77%,8,3,5,37.50%,2,1,1,50.00%
40,Kalista,10,2,8,20.00%,8.77%,6,1,5,16.67%,4,1,3,25.00%
41,Ekko,9,6,3,66.67%,7.89%,3,2,1,66.67%,6,4,2,66.67%
42,Jax,8,6,2,75.00%,7.02%,6,4,2,66.67%,2,2,0,100.00%
43,Miss Fortune,8,5,3,62.50%,7.02%,5,4,1,80.00%,3,1,2,33.33%
44,Evelynn,7,4,3,57.14%,6.14%,5,3,2,60.00%,2,1,1,50.00%
45,Aphelios,7,3,4,42.86%,6.14%,4,2,2,50.00%,3,1,2,33.33%
46,Akali,6,3,3,50.00%,5.26%,5,2,3,40.00%,1,1,0,100.00%
47,Malphite,6,3,3,50.00%,5.26%,3,2,1,66.67%,3,1,2,33.33%
48,Mordekaiser,6,1,5,16.67%,5.26%,2,1,1,50.00%,4,0,4,0.00%
49,Karma,5,4,1,80.00%,4.39%,5,4,1,80.00%,0,0,0,-
50,Kassadin,5,3,2,60.00%,4.39%,1,0,1,0.00%,4,3,1,75.00%
51,Lux,5,2,3,40.00%,4.39%,3,1,2,33.33%,2,1,1,50.00%
52,Taric,5,1,4,20.00%,4.39%,5,1,4,20.00%,0,0,0,-
53,Ziggs,5,1,4,20.00%,4.39%,2,0,2,0.00%,3,1,2,33.33%
54,Kennen,4,4,0,100.00%,3.51%,3,3,0,100.00%,1,1,0,100.00%
55,Blitzcrank,4,2,2,50.00%,3.51%,1,0,1,0.00%,3,2,1,66.67%
56,Gragas,4,2,2,50.00%,3.51%,3,2,1,66.67%,1,0,1,0.00%
57,Jarvan IV,4,2,2,50.00%,3.51%,3,2,1,66.67%,1,0,1,0.00%
58,Tristana,4,2,2,50.00%,3.51%,2,1,1,50.00%,2,1,1,50.00%
59,Vladimir,4,2,2,50.00%,3.51%,1,0,1,0.00%,3,2,1,66.67%
60,Vayne,3,2,1,66.67%,2.63%,1,1,0,100.00%,2,1,1,50.00%
61,Draven,3,1,2,33.33%,2.63%,1,0,1,0.00%,2,1,1,50.00%
62,Gnar,2,2,0,100.00%,1.75%,0,0,0,-,2,2,0,100.00%
63,Cassiopeia,2,1,1,50.00%,1.75%,1,1,0,100.00%,1,0,1,0.00%
64,Elise,2,1,1,50.00%,1.75%,0,0,0,-,2,1,1,50.00%
65,Fiora,2,1,1,50.00%,1.75%,1,0,1,0.00%,1,1,0,100.00%
66,Irelia,2,1,1,50.00%,1.75%,0,0,0,-,2,1,1,50.00%
67,Karthus,2,0,2,0.00%,1.75%,1,0,1,0.00%,1,0,1,0.00%
68,Kayle,2,0,2,0.00%,1.75%,1,0,1,0.00%,1,0,1,0.00%
69,Urgot,2,0,2,0.00%,1.75%,1,0,1,0.00%,1,0,1,0.00%
70,Vel'Koz,2,0,2,0.00%,1.75%,1,0,1,0.00%,1,0,1,0.00%
71,Zilean,2,0,2,0.00%,1.75%,0,0,0,-,2,0,2,0.00%
72,Maokai,1,1,0,100.00%,0.88%,1,1,0,100.00%,0,0,0,-
73,Morgana,1,1,0,100.00%,0.88%,1,1,0,100.00%,0,0,0,-
74,Nocturne,1,1,0,100.00%,0.88%,1,1,0,100.00%,0,0,0,-
75,Rengar,1,1,0,100.00%,0.88%,0,0,0,-,1,1,0,100.00%
76,Singed,1,1,0,100.00%,0.88%,0,0,0,-,1,1,0,100.00%
77,Swain,1,1,0,100.00%,0.88%,1,1,0,100.00%,0,0,0,-
78,Aatrox,1,0,1,0.00%,0.88%,1,0,1,0.00%,0,0,0,-
79,Corki,1,0,1,0.00%,0.88%,0,0,0,-,1,0,1,0.00%
80,Kha'Zix,1,0,1,0.00%,0.88%,0,0,0,-,1,0,1,0.00%
81,Kog'Maw,1,0,1,0.00%,0.88%,0,0,0,-,1,0,1,0.00%
82,LeBlanc,1,0,1,0.00%,0.88%,1,0,1,0.00%,0,0,0,-
83,Poppy,1,0,1,0.00%,0.88%,1,0,1,0.00%,0,0,0,-
84,Quinn,1,0,1,0.00%,0.88%,0,0,0,-,1,0,1,0.00%
85,Ryze,1,0,1,0.00%,0.88%,0,0,0,-,1,0,1,0.00%
86,Skarner,1,0,1,0.00%,0.88%,0,0,0,-,1,0,1,0.00%
87,Xayah,1,0,1,0.00%,0.88%,0,0,0,-,1,0,1,0.00%
