"player","team","position","gold_per_minute","winrate","counter_pickrate","kills","deaths","assists","kda","kp","kill_share","share_team_deaths","first_blood_rate","gold_diff_10","xp_diff_10","cs_diff_10","cspm","share_team_deaths_15","damage_per_minute","share_damage","share_team_damage_15","average_gold_per_minute","gold_share","neutral_objectives_stolen","wards_per_minute","control_wards_per_minute","wards_cleared_per_minute"
"369","Top Esports","Top",15,"60%","53%",40,33,64,3.2,"51.5%","19.8%","20.5%","13%",167,76,2.1,8.3,"24.6%",452,"22.7%",,266,"22.9%",,0.41,0.15,0.22
"AHaHaCiK","Unicorns of Love.CIS","Jungle",6,"0%","50%",13,32,23,1.1,"64.3%","23.2%","23.2%","50%",-266,-561,-9,5.4,"18.3%",381,"19.2%",,189,"20.4%",,0.32,0.14,0.31
"Angel","Suning","Middle",19,"63%","63%",64,40,123,4.7,"65.6%","22.5%","16.5%","37%",15,-84,-0.3,8.2,"21.4%",466,"22.2%",,259,"21.4%",,0.44,0.2,0.24
"Bdd","Gen.G","Middle",9,"56%","44%",26,24,44,2.9,"59.3%","22.0%","16.4%","0%",95,-27,5.7,8.3,"24.0%",428,"21.8%",,280,"24.1%",,0.45,0.19,0.23
"BeryL","DWG KIA","Support",17,"82%","65%",22,45,124,3.2,"51.6%","7.8%","27.1%","24%",41,10,0.8,1.5,"4.4%",192,"9.0%",,122,"9.7%",,1.73,0.56,0.6
"Bin","Suning","Top",19,"63%","63%",74,55,98,3.1,"60.4%","26.0%","22.6%","32%",39,58,-1.8,8.5,"25.5%",539,"25.4%",,299,"24.6%",,0.42,0.16,0.14
"Biofrost","TSM","Support",6,"0%","33%",3,18,26,1.6,"60.4%","6.3%","21.2%","0%",-287,-13,0,1.2,"3.4%",112,"7.2%",,76,"8.0%",,1.73,0.58,0.5
"Bjergsen","TSM","Middle",6,"0%","67%",10,15,21,2.1,"64.6%","20.8%","17.6%","17%",-199,-78,-7.3,8.4,"26.6%",322,"20.8%",,234,"24.4%",,0.38,0.14,0.16
"BOSS","Unicorns of Love.CIS","Top",6,"0%","33%",15,28,17,1.1,"57.1%","26.8%","20.3%","33%",-218,-100,-9.2,6.8,"20.7%",384,"19.1%",,199,"21.3%",,0.45,0.15,0.14
"BrokenBlade","TSM","Top",6,"0%","33%",13,18,16,1.6,"60.4%","27.1%","21.2%","17%",77,6,-2.7,7.1,"22.9%",366,"23.9%",,220,"23.6%",,0.47,0.22,0.18
"Broxah","Team Liquid","Jungle",6,"50%","67%",13,10,42,5.5,"70.5%","16.7%","15.6%","50%",134,252,0.8,6.1,"18.0%",298,"15.5%",,209,"18.8%",,0.5,0.36,0.31
