"player","team","position","gold_per_minute","winrate","counter_pickrate","kills","deaths","assists","kda","kp","kill_share","share_team_deaths","first_blood_rate","gold_diff_10","xp_diff_10","cs_diff_10","cspm","share_team_deaths_15","damage_per_minute","share_damage","share_team_damage_15","average_gold_per_minute","gold_share","neutral_objectives_stolen","wards_per_minute","control_wards_per_minute","wards_cleared_per_minute"
"Acce","Movistar R7","Top",7,"29%","57%",13,23,32,2,"59.2%","17.1%","21.7%","14%",-90,-202,-5.1,7.3,"23.8%",367,"21.4%",,210,"20.7%",,0.45,0.23,0.18
"Ace","V3 Esports","Middle",5,"20%","0%",11,18,22,1.8,"64.7%","21.6%","18.0%","0%",-596,-440,-13,6.6,"18.9%",436,"22.7%",,200,"20.6%",,0.55,0.23,0.16
"AHaHaCiK","Unicorns of Love.CIS","Jungle",8,"75%","38%",31,22,62,4.2,"67.4%","22.5%","20.8%","63%",-202,-512,-11.1,6.2,"20.3%",365,"15.8%",,238,"19.3%",,0.36,0.16,0.34
"Aloned","Movistar R7","Middle",7,"29%","71%",23,24,30,2.2,"69.7%","30.3%","22.6%","0%",-4,38,1,8,"24.7%",453,"26.6%",,252,"24.6%",,0.46,0.2,0.3
"Archer","V3 Esports","ADC",5,"20%","20%",18,15,22,2.7,"78.4%","35.3%","15.0%","0%",135,13,2,9.7,"38.2%",616,"32.7%",,304,"31.1%",,0.43,0.17,0.46
"Armut","Papara SuperMassive","Top",12,"42%","58%",45,32,73,3.7,"72.8%","27.8%","18.5%","42%",243,69,0.8,7.7,"25.6%",437,"22.9%",,250,"24.1%",,0.52,0.22,0.18
"Babip","Legacy Esports","Jungle",8,"38%","75%",25,20,55,4,"81.6%","25.5%","17.5%","25%",-169,32,1,6.2,"20.2%",391,"21.4%",,224,"21.1%",,0.22,0.19,0.27
"Bolulu","Papara SuperMassive","Middle",12,"42%","42%",28,33,73,3.1,"62.3%","17.3%","19.1%","17%",-262,-191,-6.6,7.4,"22.9%",394,"20.7%",,217,"20.9%",,0.45,0.18,0.11
"BOSS","Unicorns of Love.CIS","Top",8,"75%","25%",27,22,45,3.3,"52.2%","19.6%","20.8%","25%",93,20,-0.1,7.4,"22.8%",418,"18.2%",,268,"22.3%",,0.39,0.1,0.19
"Broxah","Team Liquid","Jungle",5,"80%","20%",21,6,35,9.3,"67.5%","25.3%","17.1%","40%",374,310,4.2,6.4,"19.6%",357,"19.1%",,244,"20.0%",,0.43,0.32,0.34
"Bugi","V3 Esports","Jungle",5,"20%","100%",12,24,24,1.5,"70.6%","23.5%","24.0%","20%",-136,-48,-0.8,5.4,"16.7%",353,"19.3%",,186,"19.3%",,0.67,0.33,0.29
"Carzzy","MAD Lions","ADC",10,"40%","50%",27,28,59,3.1,"73.5%","23.1%","17.1%","20%",-144,-176,-13.6,6.3,"19.5%",525,"25.1%",,214,"20.7%",,0.61,0.23,0.35
"CoreJJ","Team Liquid","Support",5,"80%","20%",1,5,60,12.2,"73.5%","1.2%","14.3%","0%",-52,74,-0.2,1.1,"2.4%",124,"6.7%",,115,"9.3%",,1.14,0.35,0.42
