"team","games_played","wins","loses","average_game_duration","kills","deaths","kd","combined_kills_per_minute","gold_percent_rating","gold_spent_difference","early_game_rating","mid_late_rating","gold_diff_15","first_blood_rate","first_tower_rate","first_to_three_towers_rate","turrent_plates_destroyed","rift_herald_rate","first_dragon_rate","dragon_control_rate","elder_dragon_rate","first_baron_rate","baron_control_rate","lane_control","jungle_control","wards_per_minute","control_wards_per_minute","wards_cleared_per_minute"
"DRX",9,4,5,33.1,103,89,1.16,0.64,1.07,"5.6%",67.6,-23.1,1876,"56%","67%","44%",,"56%","22%","47%","0%","33%","25%","50.9%","52.8%",3.9,1.33,1.6
"DWG KIA",17,14,3,31.2,283,166,1.7,0.84,1.25,"9.8%",72.4,9.9,1940,"47%","82%","88%",,"79%","82%","75%","50%","71%","76%","50.4%","53.8%",3.39,1.34,1.76
"FlyQuest",6,3,3,31.9,72,80,0.9,0.79,0.1,"-3.5%",43.3,6.7,-662,"50%","50%","50%",,"42%","67%","52%",,"50%","63%","49.0%","49.2%",3.11,1.19,1.49
"Fnatic",11,6,5,29.6,131,110,1.19,0.74,0.11,"2.0%",47,7.5,-701,"82%","64%","64%",,"33%","55%","56%","100%","36%","55%","50.1%","51.0%",3.09,1.16,1.48
"G2 Esports",14,8,6,31.9,228,209,1.09,0.97,0.08,"2.3%",46.5,10.7,-94,"57%","50%","29%",,"44%","29%","45%","100%","43%","40%","50.2%","53.6%",3.82,1.35,1.61
"Gen.G",9,5,4,32.1,118,146,0.81,0.91,0.31,"0.4%",57,-1.5,897,"44%","56%","56%",,"72%","56%","53%",,"67%","73%","50.8%","46.2%",3.84,1.44,1.65
"JD Gaming",10,5,5,29.9,137,149,0.92,0.95,0.1,"0.1%",53,-3,556,"40%","40%","50%",,"58%","50%","39%","0%","40%","55%","50.5%","51.4%",3.41,1.18,1.84
"LGD Gaming",6,3,3,36.2,84,85,0.99,0.78,-0.41,"-2.1%",41.9,8.1,-817,"33%","33%","50%",,"33%","67%","48%",,"17%","33%","49.4%","49.9%",3.65,1.11,1.83
"Machi Esports",6,1,5,32.8,54,103,0.52,0.79,-2.2,"-10.6%",29.3,-12.7,-2599,"17%","33%","33%",,"42%","67%","48%",,"17%","38%","49.2%","39.5%",3.57,1.42,1.93
"PSG Talon",6,2,4,27.8,38,67,0.57,0.63,-1.32,"-10.3%",36.9,-3.6,-1654,"33%","17%","33%",,"27%","50%","50%",,"33%","40%","49.9%","43.2%",3.15,1.28,1.58
"Rogue",6,1,5,29.8,53,87,0.61,0.78,-1.05,"-9.7%",32.4,-15.7,-1238,"67%","50%","17%",,"25%","0%","19%",,"17%","17%","48.4%","45.5%",3.71,1.14,1.27
"Suning",19,12,7,34.1,285,243,1.17,0.82,0.66,"3.8%",50.4,12.8,45,"63%","47%","68%",,"46%","53%","55%","67%","53%","59%","50.3%","54.2%",4.21,1.35,1.87
"Team Liquid",6,3,3,32.4,78,64,1.22,0.73,0.07,"-4.7%",48.6,1.4,55,"67%","50%","50%",,"42%","33%","46%","0%","50%","60%","49.2%","48.2%",3.5,1.2,1.78
"Top Esports",15,9,6,32.8,202,161,1.25,0.74,0.35,"3.4%",58.1,1.9,955,"33%","40%","47%",,"57%","53%","53%","0%","60%","57%","50.3%","52.0%",3.45,1.27,1.8
"TSM",6,0,6,33.5,48,85,0.56,0.66,-1.22,"-9.7%",38.7,-38.7,-909,"33%","17%","17%",,"45%","33%","36%",,"0%","13%","48.7%","46.1%",3.51,1.42,1.53
"Unicorns of Love.CIS",6,0,6,32.1,56,138,0.41,1,-3.29,"-16.0%",15.6,-15.6,-3784,"50%","50%","17%",,"42%","50%","27%",,"17%","22%","49.1%","38.4%",3.09,1.06,1.37
